ID	logFC	t	P.Value	adj.P.Val	B
hsa05165	0.0367801588746914	4.97944518846845	1.39987272433398e-06	0.000278574672142462	4.05076932437603
hsa05206	0.0425390081603876	4.60529731960283	7.42213802636829e-06	0.000738502733623645	2.44269347218096
hsa04930	0.0229295231558546	4.40993557583175	1.70767669841224e-05	0.00113275887661345	1.64310552338127
hsa04012	0.0281656609340986	4.15365943675687	4.89185475559705e-05	0.00169551639055995	0.637484455294987
hsa05146	0.0226318380832238	4.12429113328425	5.50236144248562e-05	0.00169551639055995	0.525447032801879
hsa04977	0.0193632742678176	4.11801382217444	5.64197431504956e-05	0.00169551639055995	0.501586152216093
hsa04713	0.0124116569216799	4.0441209771526	7.56125480341174e-05	0.00169551639055995	0.22301010999418
hsa04724	0.0124116569216799	4.0441209771526	7.56125480341174e-05	0.00169551639055995	0.22301010999418
hsa05205	0.0411512448460885	4.04055236645634	7.66816458042189e-05	0.00169551639055995	0.209664156369838
hsa04974	0.0286005191594523	3.98997747483043	9.34699548482953e-05	0.00186005210148108	0.0215958281279462
hsa04520	0.022678081125262	3.94838331599453	0.000109843412852968	0.00198716719615825	-0.131569239612188
hsa04015	0.0218481656293035	3.90321729291223	0.000130697924443343	0.00216740724701876	-0.29633793955498
hsa04971	0.0183340089805029	3.8455808603407	0.000162800034469915	0.00249209283534716	-0.504243501932335
hsa04142	0.0252463829126692	3.78056281819712	0.000207953720367861	0.00295591359665745	-0.735584080815502
hsa00240	0.0259773162134591	3.74729137453238	0.000235417018165564	0.0030291418450747	-0.852650366510766
hsa04730	0.0261829578023827	3.73758720594221	0.000244051930896662	0.0030291418450747	-0.886626074098371
hsa05217	0.0230060327243478	3.72177014938441	0.000258770911388291	0.0030291418450747	-0.941840318985926
hsa05110	0.0171465075643624	3.67494989707403	0.00030741162294188	0.00339860627585745	-1.10408903568875
hsa04120	0.0194656322308884	3.62683049430684	0.000366311070542521	0.00383662647568219	-1.268975845327
hsa04911	0.0147580132722096	3.598571768241	0.000405697393769611	0.00403668906800763	-1.36492308357605
hsa04310	0.0214611317900859	3.57221139080415	0.000446001929430405	0.00410805463589128	-1.45383250511116
hsa04640	0.017029921074311	3.56715173924151	0.000454156793917629	0.00410805463589128	-1.47083237274116
hsa04350	0.0338766442253893	3.49399606285299	0.000588885552033304	0.00509514021107076	-1.71425933356445
hsa00310	-0.0274105689495683	-3.47119434362461	0.000638017172356199	0.00529022572078682	-1.78922374271331
hsa05213	0.0207434182835793	3.42317438105595	0.000754317920957847	0.00579430617068595	-1.94567757682675
hsa04512	0.0444058756584207	3.42213381595724	0.000757045027325802	0.00579430617068595	-1.94904647691759
hsa05120	0.0194991434536878	3.39818986909191	0.000822404093642862	0.006025006999041	-2.02631563340458
hsa04916	0.0119684184847282	3.38359813048562	0.000864783375400382	0.006025006999041	-2.07316817222436
hsa04151	0.0303227989791344	3.37917870316394	0.000878016095337633	0.006025006999041	-2.08732313728947
hsa04925	0.0147814762695013	3.35858824938417	0.000942199732218269	0.00606097452189608	-2.15305524485718
hsa04972	0.0274077138562903	3.35797653558567	0.000944171910446123	0.00606097452189608	-2.15500258525164
hsa05231	0.0228206755269547	3.3010327411973	0.00114559536402884	0.00712417117005437	-2.33489270354548
hsa04922	0.0126151741453722	3.26431198247737	0.00129599726432169	0.00781525623030355	-2.44943772479102
