"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"probe_id"	"gene_symbol"	"entrez_id"	"ensembl_id"
"1"	-0.243490434071069	6.93114863339508	-3.78135390530793	0.000207407003785359	0.999710234740046	0.500135833923453	"2328611"	NA	NA	NA
"2"	0.14334623220955	9.03570086981043	3.64896141159716	0.000338108747310572	0.999710234740046	0.0793091907519683	"3997946"	NA	NA	NA
"3"	-0.0813871978053111	8.33474428439287	-3.62683738002606	0.000366405096643772	0.999710234740046	0.010241337378134	"2566383"	"COA5"	"493753"	"ENSG00000183513"
"4"	0.106085420126173	6.81384708996552	3.55337622692058	0.000477200564900791	0.999710234740046	-0.216488842898989	"2694314"	"GATA2"	"2624"	"ENSG00000179348"
"5"	0.0625890335105916	6.91176085171409	3.47079164793466	0.000639072223882995	0.999710234740046	-0.466563866642656	"3707258"	"MINK1"	"50488"	"ENSG00000141503"
"6"	0.080505693686411	6.32496071977217	3.46970752427191	0.000641504949758633	0.999710234740046	-0.469812619113226	"3957224"	"TBC1D10A"	"83874"	"ENSG00000099992"
"7"	0.078474918309154	6.46584012815605	3.46814162666062	0.00064503408169126	0.999710234740046	-0.474503520643728	"3934479"	"C21orf2"	"755"	"ENSG00000160226"
"8"	0.211677671677766	5.35014341647995	3.46378832969988	0.000654941145510429	0.999710234740046	-0.487534812055202	"3819771"	NA	NA	NA
"9"	-0.0718529443908729	3.38215163742215	-3.43926511839578	0.000713466647677069	0.999710234740046	-0.560675926429005	"3462630"	"CAPS2"	"84698"	"ENSG00000180881"
"10"	0.10130047318754	3.71160838681465	3.42709398882763	0.000744298931069855	0.999710234740046	-0.596807720176529	"4038494"	"KMT5A"	"387893"	"ENSG00000183955"
"11"	-0.279854033784139	3.96612648541587	-3.42289762720538	0.000755215271169606	0.999710234740046	-0.60923922072302	"3275574"	NA	NA	NA
"12"	-0.394752031585417	6.23441715997848	-3.35270229644449	0.000961541224354163	0.999710234740046	-0.815204578204181	"3444117"	NA	NA	NA
"13"	0.102988266803797	7.48817033623166	3.34049101559916	0.00100241229355083	0.999710234740046	-0.850650917356993	"3976124"	"CDK16"	"5127"	"ENSG00000102225"
"14"	-0.270414224415994	4.17246166838994	-3.29913110473661	0.0011531984500363	0.999710234740046	-0.969859814148635	"2968279"	NA	NA	NA
"15"	0.159047430133731	7.14473570198627	3.29816109158614	0.00115697611286775	0.999710234740046	-0.972639857889686	"3328600"	"TSPAN18"	"90139"	"ENSG00000157570"
"16"	-0.104146019181671	6.04297031795663	-3.2781670143349	0.00123745572061326	0.999710234740046	-1.02978134418109	"3891723"	"C20orf197"	"284756"	NA
"17"	0.0878459610011548	7.16200412935359	3.25536911542489	0.001335564571215	0.999710234740046	-1.09456002644958	"3649890"	"ABCC1"	"4363"	NA
"18"	0.0735842511122922	6.57554432518828	3.2389544783765	0.00141062982254017	0.999710234740046	-1.14095255627973	"2485688"	"CEP68"	"23177"	"ENSG00000011523"
"19"	0.109178884738844	4.69917100637008	3.2306477205496	0.00145009370506595	0.999710234740046	-1.16435043235831	"3575302"	"PTPN21"	"11099"	"ENSG00000070778"
"20"	0.127577459354882	6.66341018718022	3.20439616405567	0.0015816521523188	0.999710234740046	-1.23794236240183	"3156307"	"PTK2"	"5747"	"ENSG00000169398"
"21"	-0.108081128911893	7.46713055518239	-3.19535490063026	0.00162946822927395	0.999710234740046	-1.26316421394715	"2834743"	"ADRB2"	"154"	"ENSG00000169252"
"22"	-0.218356038484878	4.01737611659316	-3.1151160876321	0.00211648339628061	0.999710234740046	-1.48420965696764	"2674492"	NA	NA	NA
"23"	0.439702680301505	6.29499588961224	3.10947571567175	0.00215533690667741	0.999710234740046	-1.49955860196272	"3589410"	"C15orf54"	"400360"	"ENSG00000175746"
"24"	0.063887526704252	6.69673900507621	3.09393553562005	0.00226581943500762	0.999710234740046	-1.54171839003992	"3829638"	NA	NA	NA
"25"	-0.137561471932352	4.43080414297973	-3.08106622358359	0.00236124635640455	0.999710234740046	-1.57648860682438	"2390355"	"OR2M4"	"26245"	"ENSG00000171180"
"26"	0.0957909304007725	8.26109725496028	3.0745454682294	0.00241100114925575	0.999710234740046	-1.59405660710752	"3142217"	"PAG1"	"55824"	"ENSG00000076641"
"27"	0.0905668397737891	8.33931659144338	3.06095199228653	0.0025178460047382	0.999710234740046	-1.63057202984775	"2498143"	"NCK2"	"8440"	"ENSG00000071051"
"28"	-0.232322441109561	6.88257435024222	-3.05709908853482	0.00254891419427751	0.999710234740046	-1.64089538763711	"2901699"	NA	NA	NA
"29"	0.132092809607426	3.02300050845409	3.0175129247568	0.00288921963394887	0.999710234740046	-1.74628242217784	"2523612"	NA	NA	NA
"30"	0.215156561549676	6.65741186871722	3.01519697427969	0.0029103680368812	0.999710234740046	-1.75240961280055	"3676723"	NA	NA	NA
"31"	0.108385612187623	8.11244274647465	2.9645379253768	0.00341009553300363	0.999710234740046	-1.88537107377171	"3749686"	NA	NA	NA
"32"	-0.102417712586485	7.51031294253217	-2.95913846418175	0.00346776084893997	0.999710234740046	-1.89942237928226	"2432571"	"POLR3GL"	"84265"	"ENSG00000121851"
"33"	0.0627069128249227	6.77098618478542	2.95760772610379	0.00348427081792333	0.999710234740046	-1.90340167618319	"2321960"	"PLEKHM2"	"23207"	"ENSG00000116786"
"34"	-0.105700189957409	7.25971426359404	-2.95736995565136	0.00348684177965712	0.999710234740046	-1.90401961524145	"2385095"	"ARV1"	"64801"	"ENSG00000173409"
